attack,epsilon,alpha,steps,clean_acc,robust_acc,attack_success_rate
fgsm,0.0,-,1,0.9871,0.9871,0.0
fgsm,0.05,-,1,0.9871,0.9486,0.0390031405126127
fgsm,0.1,-,1,0.9871,0.8408,0.14821193394792828
fgsm,0.15,-,1,0.9871,0.6175,0.37443014892108195
fgsm,0.2,-,1,0.9871,0.3354,0.6602167966771351
fgsm,0.25,-,1,0.9871,0.15,0.8480397122885219
fgsm,0.3,-,1,0.9871,0.0667,0.9324283253976294
pgd,0.0,0.01,40,0.9871,0.9871,0.0
pgd,0.05,0.01,40,0.9871,0.9313,0.05652922702866984
pgd,0.1,0.01,40,0.9871,0.6376,0.3540674703677439
pgd,0.15,0.01,40,0.9871,0.1599,0.8380103332995644
pgd,0.2,0.01,40,0.9871,0.0144,0.9854118123796981
pgd,0.25,0.01,40,0.9871,0.0001,0.9998986931415257
pgd,0.3,0.01,40,0.9871,0.0,1.0
